operator,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
abs.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acos.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
acosh.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
add.Tensor,20,0,20,0.0,0.0,0.0,nan,nan,0.0,0.0
_local_scalar_dense.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arange.start_step,19,0,19,0.0,0.0,0.0,nan,nan,0.0,0.0
arange.start,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arange.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cauchy_.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exponential_.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometric_.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_normal_.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal_.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clamp_max.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
clamp_min.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
mul.Tensor,19,0,19,0.0,0.0,0.0,nan,nan,0.0,0.0
sub.Tensor,11,0,11,0.0,0.0,0.0,nan,nan,0.0,0.0
addmm.default,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addmv.default,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addbmm.default,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baddbmm.default,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dot.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vdot.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmm.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mv.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addr.default,5,0,5,0.0,0.0,0.0,nan,nan,0.0,0.0
addcmul.default,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addcdiv.default,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asin.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asinh.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atan.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atan2.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
atanh.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allclose.default,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expand.default,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceil.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clone.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clamp.Tensor,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copysign.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
copysign.Scalar,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cos.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
cosh.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
linalg_cross.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cumsum.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cumprod.default,7,0,7,0.0,0.0,0.0,nan,nan,0.0,0.0
cummax.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cummin.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deg2rad.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
div.Tensor,18,0,18,0.0,0.0,0.0,nan,nan,0.0,0.0
div.Tensor_mode,18,0,18,0.0,0.0,0.0,nan,nan,0.0,0.0
equal.default,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
expand_copy.default,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diag_embed.default,13,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diagonal_copy.default,24,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diagonal.default,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diagonal_scatter.default,15,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alias_copy.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq.Tensor,10,0,10,0.0,0.0,0.0,nan,nan,0.0,0.0
fmax.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
fmin.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
fmod.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
remainder.Tensor,10,0,10,0.0,0.0,0.0,nan,nan,0.0,0.0
frac.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floor.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flip.default,10,0,10,0.0,0.0,0.0,nan,nan,0.0,0.0
i0.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floor_divide.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
frexp.Tensor,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
log1p.default,1,0,1,0.0,0.0,0.0,nan,nan,nan,nan
ge.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
gt.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
isin.Tensor_Tensor,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kthvalue.default,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
le.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
linspace.default,63,0,63,0.0,0.0,0.0,nan,nan,nan,nan
linspace.Tensor_Tensor,6,0,6,0.0,0.0,0.0,nan,nan,nan,nan
linspace.Tensor_Scalar,30,0,30,0.0,0.0,0.0,nan,nan,nan,nan
linspace.Scalar_Tensor,12,0,12,0.0,0.0,0.0,nan,nan,nan,nan
logspace.default,402,0,402,0.0,0.0,0.0,nan,nan,nan,nan
logspace.Tensor_Tensor,80,0,80,0.0,0.0,0.0,nan,nan,nan,nan
logspace.Tensor_Scalar,200,0,200,0.0,0.0,0.0,nan,nan,nan,nan
logspace.Scalar_Tensor,160,0,160,0.0,0.0,0.0,nan,nan,nan,nan
log.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
log10.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
log2.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
logaddexp.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
logaddexp2.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logical_not.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
lt.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
masked_fill.Scalar,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masked_fill.Tensor,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masked_scatter.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masked_select.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linalg_matrix_exp.default,2,0,2,0.0,0.0,0.0,nan,nan,nan,nan
mm.default,5,0,5,0.0,0.0,0.0,nan,nan,0.0,0.0
max.dim,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median.dim,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nanmedian.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nanmedian.dim,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var_mean.correction,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_mean.correction,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min.dim,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maximum.default,18,0,18,0.0,0.0,0.0,nan,nan,0.0,0.0
minimum.default,18,0,18,0.0,0.0,0.0,nan,nan,0.0,0.0
logical_and.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
logical_or.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
logical_xor.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
heaviside.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
_softmax_backward_data.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aminmax.default,7,0,7,0.0,0.0,0.0,nan,nan,0.0,0.0
as_strided.default,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as_strided_copy.default,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as_strided_scatter.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_layer_norm.default,20,0,20,0.0,0.0,0.0,nan,nan,0.0,0.0
native_batch_norm.default,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_native_batch_norm_legit.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_native_batch_norm_legit.no_stats,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_batch_norm_with_update.default,5,0,5,0.0,0.0,0.0,nan,nan,nan,nan
_adaptive_avg_pool2d.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_adaptive_avg_pool3d.default,2,0,2,0.0,0.0,0.0,nan,nan,nan,nan
avg_pool3d.default,8,0,8,0.0,0.0,0.0,nan,nan,0.0,0.0
binary_cross_entropy_with_logits.default,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relu.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constant_pad_nd.default,50,0,50,0.0,0.0,0.0,nan,nan,0.0,0.0
hardswish.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
im2col.default,162,0,162,0.0,0.0,0.0,nan,nan,nan,nan
_upsample_bilinear2d_aa.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
